id,wstnkey,lng,lat
7,100,128.7587,37.6869
19,116,126.9639,37.4442
29,136,128.7073,36.573
33,140,126.7057,35.993
41,155,128.5652,35.1903
45,164,126.2851,35.0938
56,187,126.8804,33.3868
58,188,126.8804,33.3868
62,192,128.1191,35.2084
68,214,129.2167,37.3667
86,251,126.699,35.4251
103,265,126.8804,33.3868
50,172,126.599,35.3489
49,170,126.7018,34.3959
51,174,127.3694,35.0204
52,175,126.3238,34.4721
57,188,126.8802,33.3868
59,189,126.5653,33.2461
60,189,126.5653,33.2461
63,201,126.4463,37.7074
64,202,127.4945,37.4886
65,203,127.4842,37.264
66,211,128.1671,38.0599
67,212,127.8804,37.6836
69,216,128.9893,37.1703
70,217,128.6461,37.3813
71,221,128.1943,37.1593
72,226,127.7341,36.4876
73,232,127.2927,36.7624
74,232,127.1213,36.7796
75,235,126.5574,36.3272
76,236,126.9208,36.2724
77,238,127.4818,36.1056
78,243,126.7166,35.7295
79,244,127.2856,35.6123
80,245,126.8661,35.5632
81,247,127.3967,35.4023
82,247,127.333,35.4054
83,248,127.5203,35.657
92,256,127.2391,35.075
93,256,127.2391,35.075
96,258,127.2123,34.7633
97,259,126.7689,34.6261
89,254,127.1286,35.3714
88,253,128.893,35.2267
61,192,128.04,35.1638
55,185,126.1628,33.2938
94,257,129.02,35.3072
85,251,126.697,35.4266
95,258,127.2123,34.7633
87,252,126.4778,35.2837
98,260,126.9195,34.6888
99,261,126.569,34.5536
100,262,127.2757,34.6182
105,268,126.2585,34.4731
106,271,128.9145,36.9436
107,272,128.517,36.8719
110,277,129.4094,36.5333
111,278,128.6886,36.3561
112,279,128.3205,36.1306
113,281,128.9514,35.9774
115,284,127.909,35.6674
116,284,127.911,35.6712
117,285,128.1699,35.565
119,289,127.8791,35.413
120,294,128.6045,34.8882
121,295,127.9264,34.8166
108,273,128.1488,36.6273
1,90,128.5647,38.2509
2,95,127.3042,38.1479
3,98,127.0607,37.9019
4,99,126.7665,37.8859
5,99,126.7665,37.8859
9,102,124.6305,37.9661
12,106,129.1243,37.5071
18,115,130.8986,37.4813
21,121,128.4574,37.1813
22,127,127.9527,36.9704
24,130,129.4128,36.9918
30,137,128.1574,36.4084
32,140,126.7614,36.0053
37,152,129.3344,35.5826
38,152,129.3203,35.5601
40,155,128.5751,35.1671
44,162,128.4356,34.8455
47,168,127.7406,34.7393
13,108,126.9658,37.5714
23,129,126.4939,36.7766
31,138,129.3796,36.0326
25,131,127.4407,36.6392
20,119,126.9853,37.2723
46,165,126.3812,34.8169
10,104,128.8554,37.8046
26,133,127.3721,36.372
36,146,127.155,35.8215
27,135,127.9946,36.2202
34,143,128.6522,35.8782
48,169,125.451,34.6872
6,100,128.7183,37.6771
8,101,127.7357,37.9026
35,146,127.1172,35.8408
11,105,128.891,37.7515
90,255,128.6725,35.2264
39,155,128.5729,35.1702
16,112,126.6244,37.4776
17,114,127.9466,37.3376
28,136,128.7073,36.5729
104,266,127.691,34.943
102,264,127.7454,35.5114
84,251,126.697,35.4266
42,156,126.8916,35.1729
101,263,128.2881,35.3226
43,159,129.032,35.1047
54,184,126.5297,33.5141
109,276,129.0423,36.4321
91,255,128.6725,35.2264
53,176,128.6522,35.8782
114,283,129.2009,35.8175
14,108,126.9658,37.5714
15,112,126.6249,37.4777
