month,yield0,yield1,yield2,lower,avg,upper
1,641.832774665685,656.0711644315093,648.350836142889,641.832774665685,647.0218874764419,656.0711644315093
2,461.70912739372613,466.0666310327573,464.3381730114769,461.70912739372613,463.45576470792173,466.0666310327573
3,555.5988105879925,550.4146486660752,554.2690928011439,550.4146486660752,552.6743001803218,555.5988105879925
4,592.6515861161663,573.0422583310019,585.9561454463409,573.0422583310019,581.1730620561277,592.6515861161663
5,532.3685889060381,505.33695238598324,522.9426647469944,505.33695238598324,516.4962896062498,532.3685889060381
6,487.2220309237309,457.6718623287147,476.5994675551878,457.6718623287147,469.7913057840871,487.2220309237309
7,585.0712695958406,548.7178693550298,572.3459112187265,548.7178693550298,563.7132298811567,585.0712695958406
8,599.0300243738064,575.1646613013439,591.3826093212524,575.1646613013439,585.1854890744369,599.0300243738064
9,626.5490061341486,615.0388714507746,623.1801253863562,615.0388714507746,619.9517186055135,626.5490061341486
10,677.4783875481618,682.0393457557304,681.168837649218,677.4783875481618,679.541239625318,682.0393457557304
11,571.6090505546724,582.6503937449455,576.864081677357,571.6090505546724,575.6831441329118,582.6503937449455
12,578.6263023325427,595.1995016017252,586.4740658842752,578.6263023325427,584.7315430377715,595.1995016017252
