azimuth,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
0,3.63,3.69,3.73,3.76,3.76,3.75,3.72,3.68,3.61,3.53,3.44,3.32,3.19,3.05,2.89,2.73,2.56,2.4,2.24
30,3.63,3.69,3.74,3.77,3.79,3.78,3.76,3.72,3.66,3.59,3.5,3.4,3.28,3.15,3.0,2.85,2.69,2.53,2.36
60,3.63,3.68,3.71,3.73,3.73,3.72,3.69,3.64,3.58,3.51,3.42,3.32,3.21,3.09,2.96,2.83,2.69,2.55,2.4
90,3.63,3.65,3.65,3.65,3.62,3.58,3.53,3.46,3.39,3.3,3.2,3.1,2.99,2.87,2.75,2.62,2.49,2.37,2.24
120,3.63,3.61,3.58,3.53,3.47,3.39,3.31,3.21,3.1,2.99,2.87,2.75,2.62,2.49,2.37,2.24,2.12,2.0,1.89
150,3.63,3.57,3.5,3.42,3.32,3.2,3.07,2.94,2.79,2.64,2.49,2.33,2.19,2.05,1.93,1.81,1.7,1.6,1.52
180,3.63,3.55,3.45,3.34,3.21,3.07,2.91,2.74,2.57,2.4,2.25,2.1,1.96,1.83,1.71,1.59,1.49,1.41,1.33
210,3.63,3.54,3.44,3.32,3.19,3.05,2.9,2.74,2.58,2.43,2.27,2.13,1.99,1.87,1.75,1.65,1.56,1.48,1.42
240,3.63,3.56,3.47,3.37,3.26,3.14,3.01,2.88,2.75,2.62,2.49,2.37,2.25,2.13,2.02,1.91,1.82,1.73,1.65
270,3.63,3.59,3.53,3.46,3.38,3.29,3.19,3.08,2.98,2.86,2.75,2.63,2.52,2.4,2.29,2.18,2.08,1.97,1.88
300,3.63,3.63,3.61,3.57,3.53,3.46,3.39,3.31,3.21,3.11,3.0,2.88,2.76,2.64,2.51,2.39,2.26,2.14,2.02
330,3.63,3.66,3.68,3.68,3.67,3.63,3.58,3.52,3.44,3.35,3.24,3.12,2.99,2.85,2.71,2.56,2.4,2.25,2.1
360,3.63,3.69,3.73,3.76,3.76,3.75,3.72,3.68,3.61,3.53,3.44,3.32,3.19,3.05,2.89,2.73,2.56,2.4,2.24
